Sampling Point Id, Country, Air Quality Station EoI Code, Longitude, Latitude, Altitude, Air Quality Station Area, Air Quality Station Type, 
SPO.02.KA11.875.7.1, Austria, AT2KA11, 14.297500000, 46.6256, 445.0, urban, background, 
SPO.02.KA11.875.7.1, Austria, AT2KA11, 14.297500000, 46.6256, 445.0, urban, background, 
SPO.02.KA11.875.7.1, Austria, AT2KA11, 14.297500000, 46.6256, 445.0, urban, background, 
SPO.02.KA11.876.10.1, Austria, AT2KA11, 14.297500000, 46.6256, 445.0, urban, background, 
SPO.02.KA11.876.10.1, Austria, AT2KA11, 14.297500000, 46.6256, 445.0, urban, background, 
SPO.02.KA21.1876.1.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, background, 
SPO.02.KA21.1878.8.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.1878.8.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.1878.8.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.2216.10.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.2216.10.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.2216.10.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.4038.5.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.4038.5.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.4038.5.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.4038.5.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.4062.20.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.55367.6001.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.55367.6001.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.55367.6001.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.55784.5.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.55784.5.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.55784.5.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.55784.5.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.55784.5.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.55784.5.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.55784.5.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.55784.5.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.63937.5029.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, background, 
SPO.02.KA21.64523.6001.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.64523.6001.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.64523.6001.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.64523.6001.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.64523.6001.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.64523.6001.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.64523.6001.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
